,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
354,42.0601,13.0818,96.8,7.943282347,0.895,
355,42.0604,13.0758,95.5,15.84893192,0.895,
356,42.4652,13.3518,96.7,12589.25412,0.895,
357,42.4001,13.4902,94.0,10000.0,0.895,
358,42.0934,14.08,95.8,31622.7766,0.895,
359,42.0218,14.2335,99.3,19952.62315,0.895,
360,42.2026,13.2228,102.8,2511.886432,0.895,
361,41.4833,14.2913,91.2,25.11886432,0.895,
362,41.4716,14.0643,91.2,25.11886432,0.895,
363,42.2556,14.1359,88.3,79.43282347,0.895,
364,42.1237,14.1119,88.3,1.0,0.895,
365,42.0213,13.2338,90.4,1.0,0.895,
366,42.0345,13.5208,100.3,1.0,0.895,
367,41.4833,14.2913,91.2,158.4893192,0.895,
368,42.0604,13.0518,91.1,31.6227766,0.895,
369,42.0808,13.0758,94.7,15.84893192,0.895,
370,42.133,14.2318,103.1,1000.0,0.895,
371,41.531,13.2812,87.6,1.0,0.895,
372,41.4823,13.4718,106.6,1.0,0.895,
373,41.4632,13.5605,106.6,1.0,0.895,
374,41.4637,14.0651,106.6,1.0,0.895,
375,42.0219,13.234,106.6,1.0,0.895,
376,42.1044,14.0629,95.3,25118.86432,0.895,
377,42.2558,14.1434,94.1,2511.886432,0.895,
378,42.0529,14.4134,95.8,1258.925412,0.895,
379,42.2025,13.2227,100.3,3162.27766,0.895,
380,42.5002,13.4222,97.6,5011.872336,0.895,
381,42.133,13.5038,93.9,100.0,0.895,
382,42.0225,14.2328,95.1,10000.0,0.895,
383,42.0317,13.4333,89.3,794.3282347,0.895,
384,42.4002,13.4713,95.4,3162.27766,0.895,
385,42.0456,13.4757,107.2,794.3282347,0.895,
386,42.3027,13.1319,91.2,50.11872336,0.895,
387,41.5026,14.0529,101.1,6.309573445,0.895,
388,41.5551,13.5226,94.9,12.58925412,0.895,
389,42.0841,13.2959,87.6,0.125892541,0.895,
390,41.5638,14.0846,89.5,6.309573445,0.895,
391,41.5005,14.0332,97.6,5.011872336,0.895,
392,41.4833,14.2913,97.5,158.4893192,0.895,
393,42.3357,13.4113,106.2,100.0,0.895,
394,42.0604,13.0818,101.4,31.6227766,0.895,
395,42.0809,13.0758,87.7,15.84893192,0.895,
396,41.4704,14.065,104.2,1.0,0.895,
397,41.5513,14.1757,103.7,1.0,0.895,
398,42.5157,13.5341,107.1,3162.27766,0.895,
399,42.0828,14.0631,107.3,15848.93192,0.895,
400,42.3832,13.4134,91.3,15848.93192,0.895,
401,42.3938,13.4646,92.3,1584.893192,0.895,
402,42.4051,13.491,103.6,3981.071706,0.895,
403,42.0938,14.0757,103.0,19952.62315,0.895,
404,42.2604,14.1423,90.7,1.0,0.895,
405,42.2029,13.2232,107.9,251.1886432,0.895,
406,42.0219,13.234,106.6,2511.886432,0.895,
407,42.0354,13.5203,87.7,3981.071706,0.895,
408,41.5026,14.0559,107.3,3162.27766,0.895,
409,42.0721,14.1358,103.1,1995.262315,0.895,
410,41.5517,14.18,107.4,630.9573445,0.895,
411,42.5238,13.5237,100.7,7943.282347,0.895,
412,42.0841,13.2959,107.1,0.316227766,0.895,
413,42.303,13.1319,107.6,50.11872336,0.895,
414,42.3356,13.4114,94.5,100.0,0.895,
415,42.0604,13.0818,92.2,7.943282347,0.895,
416,42.0809,13.0758,100.5,79432.82347,0.895,
417,42.0219,14.2322,87.7,1000.0,0.895,
418,42.0934,14.08,102.5,31622.7766,0.895,
419,41.4835,14.2913,102.5,6309.573445,0.895,
420,42.3844,13.4208,103.0,398.1071706,0.895,
421,41.5301,13.2808,102.2,1000.0,0.895,
422,42.0214,13.2339,103.5,2511.886432,0.895,
423,42.0215,14.2318,102.7,2511.886432,0.895,
424,42.4006,13.4905,102.4,6309.573445,0.895,
425,42.4141,13.372,102.7,19952.62315,0.895,
426,42.3357,13.4111,103.0,1258.925412,0.895,
427,42.3727,14.0213,103.0,15848.93192,0.895,
428,42.5002,13.4221,92.0,5011.872336,0.895,
429,42.0354,13.5203,102.6,6309.573445,0.895,
430,42.2025,13.2225,102.5,3162.27766,0.895,
431,42.2449,14.1208,102.8,6309.573445,0.895,
432,42.1903,13.1509,104.3,3162.27766,0.895,
433,42.0235,13.054,102.1,1.0,0.895,
434,41.4351,14.0131,102.3,199.5262315,0.895,
435,41.4438,13.5937,102.7,1258.925412,0.895,
436,41.4838,13.4449,102.3,630.9573445,0.895,
437,41.4718,14.0642,101.7,1258.925412,0.895,
438,42.065,14.4244,92.0,1584.893192,0.895,
439,42.3028,13.1319,91.7,10000.0,0.895,
440,42.4653,13.3516,107.1,2511.886432,0.895,
441,41.5556,13.5224,102.7,251.1886432,0.895,
442,42.1333,13.5039,91.8,25.11886432,0.895,
443,42.5128,13.532,99.8,19952.62315,0.895,
444,42.415,13.5655,91.5,1.0,0.895,
445,42.4052,13.5943,105.35,1.0,0.895,
446,42.2612,14.1358,99.8,1584.893192,0.895,
447,42.2608,13.3518,104.0,1.0,0.895,
448,41.5634,14.0852,102.3,6.309573445,0.895,
449,41.5513,14.1757,102.5,39810.71706,0.895,
450,42.0809,13.0758,102.3,15.84893192,0.895,
451,42.0842,13.3,106.3,0.316227766,0.895,
452,41.4823,13.4718,106.3,1.0,0.895,
453,41.4632,13.5605,106.3,1.0,0.895,
454,41.4637,14.0651,106.3,1.0,0.895,
455,42.0219,13.234,106.3,1.0,0.895,
456,42.0213,13.2338,103.0,1.0,0.895,
457,42.0159,13.2536,95.0,1.0,0.895,
458,42.0223,13.0533,103.0,7943.282347,0.895,
459,42.0723,14.1357,90.2,794.3282347,0.895,
460,42.3947,13.4117,89.0,251.1886432,0.895,
461,42.3426,13.362,91.9,199.5262315,0.895,
462,42.4413,13.4213,90.6,794.3282347,0.895,
463,42.3252,13.3223,92.7,199.5262315,0.895,
464,42.3238,13.444,90.9,1000.0,0.895,
465,42.4036,13.4901,89.9,1995.262315,0.895,
466,42.2558,14.1433,89.2,63095.73445,0.895,
467,42.0925,14.0016,95.3,398.1071706,0.895,
468,42.1335,13.5035,88.1,3162.27766,0.895,
469,42.1506,13.352,87.9,199.5262315,0.895,
470,42.0752,13.3059,87.9,199.5262315,0.895,
471,42.0255,13.024,95.9,316.227766,0.895,
472,41.5625,13.5845,88.5,630.9573445,0.895,
473,41.573,13.22,87.9,199.5262315,0.895,
474,42.3027,13.1317,87.8,1584.893192,0.895,
475,42.0319,13.4332,95.7,1258.925412,0.895,
476,41.5906,13.4836,88.7,794.3282347,0.895,
477,42.0353,13.5157,95.5,199.5262315,0.895,
478,41.4824,13.4703,88.3,100.0,0.895,
479,42.2025,13.2226,95.9,1995.262315,0.895,
480,41.5301,13.2808,94.7,398.1071706,0.895,
481,42.1503,13.3945,94.7,199.5262315,0.895,
482,42.3158,13.2531,88.0,630.9573445,0.895,
483,41.5028,14.0558,94.9,794.3282347,0.895,
484,42.0214,13.2339,94.1,1000.0,0.895,
485,41.5549,13.5207,87.9,501.1872336,0.895,
486,42.0443,13.4813,91.1,1995.262315,0.895,
487,42.1758,13.1848,88.5,1584.893192,0.895,
488,42.0433,13.3358,94.7,1000.0,0.895,
489,42.2632,13.3328,95.1,3981.071706,0.895,
490,41.4718,14.0642,87.9,1000.0,0.895,
491,41.4435,13.5937,95.1,630.9573445,0.895,
492,42.0531,14.2252,88.1,794.3282347,0.895,
493,42.0144,14.1414,92.9,1000.0,0.895,
494,41.5726,14.2317,88.3,630.9573445,0.895,
495,41.5529,14.3739,99.1,398.1071706,0.895,
496,41.4835,14.2912,95.8,501.1872336,0.895,
497,41.4835,14.2912,91.9,501.1872336,0.895,
498,42.0723,14.1357,98.2,794.3282347,0.895,
499,41.5028,14.0558,96.9,794.3282347,0.895,
500,42.0443,13.4813,93.1,1995.262315,0.895,
501,42.0214,13.2339,96.1,1000.0,0.895,
502,41.5549,13.5207,89.9,501.1872336,0.895,
503,42.1758,13.1848,90.5,1584.893192,0.895,
504,41.4718,14.0642,89.9,1000.0,0.895,
505,42.0433,13.3358,96.7,1000.0,0.895,
506,42.2632,13.3328,97.1,3981.071706,0.895,
507,41.4435,13.5937,97.1,630.9573445,0.895,
508,42.0531,14.2252,89.9,794.3282347,0.895,
509,42.3947,13.4117,91.0,251.1886432,0.895,
510,42.3426,13.362,95.7,199.5262315,0.895,
511,42.4413,13.4213,95.5,794.3282347,0.895,
512,42.3252,13.3223,96.7,199.5262315,0.895,
513,42.3238,13.444,95.3,1000.0,0.895,
514,42.4036,13.4901,93.7,1995.262315,0.895,
515,42.2558,14.1433,94.3,63095.73445,0.895,
516,42.1335,13.5035,90.1,3162.27766,0.895,
517,42.0925,14.0016,97.3,398.1071706,0.895,
518,41.5726,14.2317,90.3,630.9573445,0.895,
519,42.0144,14.1414,95.5,1000.0,0.895,
520,42.1506,13.352,89.5,199.5262315,0.895,
521,42.0255,13.024,97.9,316.227766,0.895,
522,41.5625,13.5845,90.5,630.9573445,0.895,
523,42.0319,13.4332,97.7,1258.925412,0.895,
524,41.573,13.22,89.9,199.5262315,0.895,
525,42.3027,13.1317,90.8,1584.893192,0.895,
526,41.5906,13.4836,92.7,794.3282347,0.895,
