,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
197,51.96802135,6.737872363,94.3,278.0,0.941,
198,51.5031033,3.8897596,,76.0,0.941,
199,52.2695736,6.236339605,94.4,316.0,0.941,
200,52.3730796,4.8924534,94.5,33.0,0.941,
201,52.957976,4.760279,94.5,1000.0,0.941,
202,51.1933903,5.9882649,94.5,100000.0,0.941,
203,51.5692065,4.6360813,94.5,631.0,0.941,
204,51.9244424,4.47775,94.7,12900.0,0.941,
205,51.91107645,6.295332832,94.7,794.0,0.941,
206,51.9685817,5.668298062,94.7,50.0,0.941,
207,52.9054328,6.3968885,94.8,93300.0,0.941,
208,51.5887845,4.7760237,94.8,250.0,0.941,
209,52.3730796,4.8924534,94.9,468.0,0.941,
210,51.4437624,5.6187496,94.9,11500.0,0.941,
211,52.1562499,5.3896944,95.0,2240.0,0.941,
212,51.5031033,3.8897596,95.0,11500.0,0.941,
213,51.84257485,5.838960629,95.0,3800.0,0.941,
214,52.850955,5.0226161,95.0,14100.0,0.941,
215,52.1343369,4.6561357,95.2,25100.0,0.941,
216,51.23558295,5.705079712,95.2,2500.0,0.941,
217,52.3730796,4.8924534,95.3,398.0,0.941,
218,50.8738401,5.8456982,95.3,10200.0,0.941,
219,52.18985485,4.414558265,95.3,500.0,0.941,
220,53.2074874,6.7069526,95.3,1380.0,0.941,
221,52.6008538,4.817099446,95.4,501.0,0.941,
222,52.1562499,5.3896944,95.4,100.0,0.941,
223,52.75286615,6.952513466,95.4,1000.0,0.941,
224,51.64113575,5.048667556,95.4,10000.0,0.941,
225,52.3705038,5.2185859,95.5,40.0,0.941,
226,51.9470218,6.023032473,95.5,447.0,0.941,
227,51.4437624,5.6187496,95.5,1000.0,0.941,
228,52.9035357,5.6784354,95.5,60000.0,0.941,
229,52.07494555,4.269680221,95.6,575.0,0.941,
230,52.2347139,6.4949852,95.6,5000.0,0.941,
231,51.9890128,5.0937164,95.6,2000.0,0.941,
232,52.3730796,4.8924534,95.7,5130.0,0.941,
233,51.7689546,4.686789055,,355.0,0.941,
234,52.71174435,6.197307325,95.7,1260.0,0.941,
235,52.0038435,6.5194467,95.7,151.0,0.941,
236,51.8206116,5.5632234,95.8,5000.0,0.941,
237,51.9300454,4.386451053,95.8,200.0,0.941,
238,52.1343369,4.6561357,95.9,3160.0,0.941,
239,52.3705038,5.2185859,95.9,398.0,0.941,
240,52.01811935,4.711122135,95.9,501.0,0.941,
241,52.2241375,5.1719396,95.9,50.0,0.941,
242,51.5331484,4.4561276,95.9,14.0,0.941,
243,53.1091111,6.0948102,96.0,783.0,0.941,
244,35.000074,104.999927,96.0,794.0,0.941,
245,51.48698395,5.146972817,96.0,200.0,0.941,
246,51.4996784,3.6137371,96.0,316.0,0.941,
247,51.8051942,4.5681144,96.0,419.0,0.941,
248,52.9962401,7.001434883,96.0,129.0,0.941,
249,52.850955,5.0226161,96.0,1590.0,0.941,
250,52.3730796,4.8924534,96.1,371.0,0.941,
251,51.1933903,5.9882649,96.1,123.0,0.941,
252,52.0907006,5.1215634,96.1,2000.0,0.941,
253,52.2347139,6.4949852,96.2,81300.0,0.941,
254,50.9911568,5.7717119,96.2,500.0,0.941,
255,52.0622531,4.4901218,96.2,890.0,0.941,
256,52.6008538,4.817099446,96.3,1000.0,0.941,
257,53.3243515,5.9992306,96.3,501.0,0.941,
258,51.64113575,5.048667556,96.3,20000.0,0.941,
259,52.8989296,5.5830455,96.4,316.0,0.941,
260,52.1343369,4.6561357,96.5,59.0,0.941,
261,52.3730796,4.8924534,96.5,33.0,0.941,
262,52.0056642,5.876234508,96.5,62.0,0.941,
263,52.07494555,4.269680221,96.5,2.8,0.941,
264,52.653272,5.0735802,96.5,363.0,0.941,
265,51.3271917,3.4895533,,1584.0,0.941,
266,51.5331484,4.4561276,,33.0,0.941,
267,51.5031033,3.8897596,96.6,900.0,0.941,
268,53.2005936,5.7918548,96.6,1000.0,0.941,
269,52.9962401,7.001434883,96.7,500.0,0.941,
270,52.0246381,5.0458792,96.8,72400.0,0.941,
271,52.9892251,6.2908202,96.9,501.0,0.941,
272,51.39244885,6.151172414,96.9,501.0,0.941,
273,53.143001,7.0380717,96.9,724.0,0.941,
274,52.7264258,6.493081489,97.0,1995.0,0.941,
275,51.2918913,5.748146423,97.0,100.0,0.941,
276,52.9952273,6.560498,97.1,1000.0,0.941,
277,51.4437624,5.6187496,97.1,71.0,0.941,
278,51.9244424,4.47775,97.1,40.0,0.941,
279,51.49433865,3.415005768,97.1,930.0,0.941,
280,52.850955,5.0226161,97.1,16600.0,0.941,
281,50.8252689,5.9352312,,10700.0,0.941,
282,51.3709644,5.2518766,97.2,398.0,0.941,
283,52.51456525,6.09772036,97.2,316.0,0.941,
284,51.8599524,4.666202275,97.3,200.0,0.941,
285,52.3885317,4.6388048,97.3,1780.0,0.941,
286,52.9984742,5.923148795,97.3,377.0,0.941,
287,51.5331484,4.4561276,97.3,316.0,0.941,
288,52.0907006,5.1215634,97.3,100.0,0.941,
289,52.65266925,6.739318988,97.3,50.0,0.941,
290,52.3705038,5.2185859,97.4,1230.0,0.941,
291,52.1845117,5.934748,97.4,501.0,0.941,
292,51.6511806,5.236800144,97.4,724.0,0.941,
293,52.1562499,5.3896944,97.5,794.0,0.941,
294,53.2190652,6.5680077,97.5,20000.0,0.941,
295,52.7091058,5.7477459,97.5,100.0,0.941,
296,50.8512438,5.6909768,97.6,1700.0,0.941,
297,51.9244424,4.47775,97.6,36300.0,0.941,
298,52.51456525,6.09772036,97.6,794.0,0.941,
299,52.0056642,5.876234508,97.7,8510.0,0.941,
300,50.9080845,6.0264604,97.7,15100.0,0.941,
301,51.4437624,5.6187496,97.7,8900.0,0.941,
302,53.3613027,5.2160193,97.7,300.0,0.941,
303,52.0246381,5.0458792,97.8,2090.0,0.941,
304,51.2302243,3.823928,97.8,100000.0,0.941,
305,52.2695736,6.236339605,97.9,300.0,0.941,
306,51.9808476,5.574562367,97.9,1260.0,0.941,
307,52.9035357,5.6784354,97.9,2510.0,0.941,
308,52.3730796,4.8924534,98.0,11700.0,0.941,
309,52.07494555,4.269680221,98.0,50.0,0.941,
310,52.2658726,6.7924049,98.0,640.0,0.941,
311,50.8252689,5.9352312,98.1,500.0,0.941,
312,53.0778724,5.7927534,98.2,2510.0,0.941,
313,51.64113575,5.048667556,98.2,55000.0,0.941,
314,52.6008538,4.817099446,98.3,15800.0,0.941,
315,52.07494555,4.269680221,98.4,500.0,0.941,
316,51.5031033,3.8897596,98.4,50.0,0.941,
317,52.2347139,6.4949852,98.4,81300.0,0.941,
318,51.49433865,3.415005768,98.4,18.0,0.941,
319,53.2190652,6.5680077,98.5,1490.0,0.941,
320,52.9035357,5.6784354,98.5,1000.0,0.941,
321,52.0907006,5.1215634,98.5,282.0,0.941,
322,51.23558295,5.705079712,98.5,1120.0,0.941,
323,52.3730796,4.8924534,98.6,33.0,0.941,
324,52.0056642,5.876234508,98.6,62.0,0.941,
325,52.653272,5.0735802,98.6,363.0,0.941,
326,51.9244424,4.47775,98.6,79.0,0.941,
327,50.8738401,5.8456982,98.7,10000.0,0.941,
328,52.9054328,6.3968885,98.7,22500.0,0.941,
329,52.7264258,6.493081489,98.9,200.0,0.941,
