Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI
22.572645,88.36389,92.7,22572,0.633
25.173702,75.85742,92.7,25173,0.633
12.86981,74.84301,92.7,12869,0.633
18.973354,72.8281,92.7,18973,0.633
26.166706,85.41663,92.7,26166,0.633
12.305182,76.65536,92.7,12305,0.633
21.149813,79.082054,92.7,21149,0.633
28.613895,77.20901,92.7,28613,0.633
15.498995,73.82822,92.7,15498,0.633
30.329561,76.41278,92.7,30329,0.633
10.915648,79.806946,92.7,10915,0.633
22.305326,70.80284,92.7,22305,0.633
23.37005,85.325035,92.7,23370,0.633
22.254,84.85775,92.7,22253,0.633
17.669973,75.90081,92.7,17669,0.633
34.074745,74.82044,92.7,34074,0.633
21.17,72.82,92.7,21170,0.633
13.631637,79.42317,92.7,13631,0.633
8.560888,76.98095,92.7,8560,0.633
24.57872,73.68626,92.7,24578,0.633
22.297314,73.19426,92.7,22297,0.633
17.723127,83.301285,92.7,17723,0.633
17.005045,81.78047,92.7,17005,0.633
11.3692045,77.67663,92.7,11369,0.633
26.716413,88.43099,92.7,26716,0.633
9.498,76.33348,92.7,9498,0.633
11.245056,75.775475,92.7,11245,0.633
23.601263,72.37415,92.7,23601,0.633
21.771883,72.14165,93.1,21771,0.633
22.7785,73.62452,93.1,22778,0.633
16.850254,74.59489,93.5,16850,0.633
23.021624,72.579704,93.5,23021,0.633
23.743525,92.73829,93.5,23743,0.633
31.634308,74.87368,93.5,31634,0.633
23.68713,86.974655,93.5,23687,0.633
19.877262,75.33903,93.5,19877,0.633
12.976793,77.59008,93.5,12976,0.633
23.258486,77.40199,93.5,23258,0.633
30.733442,76.77972,93.5,30733,0.633
20.4686,85.8792,93.5,20468,0.633
30.325565,78.04368,93.5,30325,0.633
20.878922,74.70314,93.5,20878,0.633
27.329046,88.61227,93.5,27329,0.633
26.180597,91.753944,93.5,26180,0.633
15.351838,75.137985,93.5,15351,0.633
17.360588,78.47406,93.5,17360,0.633
22.720362,75.8682,93.5,22720,0.633
23.160894,79.94977,93.5,23160,0.633
26.915457,75.818985,93.5,26915,0.633
22.80152,86.20296,93.5,22801,0.633
26.296772,73.03514,93.5,26296,0.633
17.166668,77.083336,93.5,17166,0.633
11.876384,75.373795,93.5,11876,0.633
26.460913,80.32176,93.5,26460,0.633
9.967427,76.245445,93.5,9967,0.633
22.572645,88.36389,93.5,22572,0.633
11.245056,75.775475,93.5,11245,0.633
34.164204,77.584816,93.5,34164,0.633
26.8381,80.9346,93.5,26838,0.633
12.86981,74.84301,93.5,12869,0.633
18.973354,72.8281,93.5,18973,0.633
12.305182,76.65536,93.5,12305,0.633
19.172573,77.29141,93.5,19172,0.633
20.011248,73.79024,93.5,20011,0.633
21.149813,79.082054,93.5,21149,0.633
14.449371,79.98737,93.5,14449,0.633
28.613895,77.20901,93.5,28613,0.633
25.609324,85.12353,93.5,25609,0.633
25.43813,81.8338,93.5,25438,0.633
18.521427,73.854454,93.5,18521,0.633
17.005045,81.78047,93.5,17005,0.633
22.305326,70.80284,93.5,22305,0.633
25.576044,91.88253,93.5,25576,0.633
26.716413,88.43099,93.5,26716,0.633
34.074745,74.82044,93.5,34074,0.633
8.488227,76.94755,93.5,8488,0.633
10.50817,76.29487,93.5,10508,0.633
13.631637,79.42317,93.5,13631,0.633
22.297314,73.19426,93.5,22297,0.633
