,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
217,-16.9861111111111,122.664166666667,106.1,32.8,0.951,
218,-27.9263888888889,153.040555555556,89.7,8200.0,0.951,
219,-27.9263888888889,153.040555555556,90.5,328.0,0.951,
220,-27.9263888888889,153.040555555556,92.1,328.0,0.951,
221,-27.9963888888889,153.026388888889,101.5,1640.0,0.951,
222,-24.3616666666667,139.468333333333,99.7,41.0,0.951,
223,-24.3616666666667,139.468333333333,102.9,41.0,0.951,
224,-24.3583333333333,139.471666666667,106.1,82.0,0.951,
225,-24.3583333333333,139.471666666667,107.7,82.0,0.951,
226,-38.6327777777778,143.563333333333,90.9,410.0,0.951,
227,-36.6591666666667,149.905277777778,93.7,1640.0,0.951,
228,-36.545,149.866111111111,94.5,8200.0,0.951,
229,-36.545,149.866111111111,102.5,8200.0,0.951,
230,-36.5980555555556,149.383055555556,89.7,180400.0,0.951,
231,-36.5980555555556,149.383055555556,99.3,180400.0,0.951,
232,-36.5980555555556,149.383055555556,100.1,180400.0,0.951,
233,-36.5980555555556,149.383055555556,100.9,180400.0,0.951,
234,-30.4513888888889,152.886388888889,107.3,328.0,0.951,
235,-37.7561111111111,148.968333333333,104.5,49.2,0.951,
236,-36.5533333333333,145.980277777778,99.3,16.4,0.951,
237,-36.9922222222222,144.308333333333,88.7,10824.0,0.951,
238,-36.9922222222222,144.308333333333,89.5,16400.0,0.951,
239,-36.9922222222222,144.308333333333,90.3,410000.0,0.951,
240,-36.9922222222222,144.308333333333,91.1,410000.0,0.951,
241,-36.9922222222222,144.308333333333,91.9,196800.0,0.951,
242,-36.9922222222222,144.308333333333,92.7,410000.0,0.951,
243,-36.9922222222222,144.308333333333,93.5,196800.0,0.951,
244,-36.9922222222222,144.308333333333,101.5,1640.0,0.951,
245,-36.8611111111111,144.241666666667,96.5,1640.0,0.951,
246,-36.7663888888889,144.244444444444,98.3,410.0,0.951,
247,-36.7663888888889,144.244444444444,105.1,246.0,0.951,
248,-36.7663888888889,144.244444444444,106.7,246.0,0.951,
249,-14.555,133.113888888889,104.1,49.2,0.951,
250,-14.555,133.113888888889,105.7,16.4,0.951,
251,-41.8813888888889,148.296388888889,89.7,82.0,0.951,
252,-41.8813888888889,148.296388888889,91.3,82.0,0.951,
253,-41.8813888888889,148.296111111111,98.5,328.0,0.951,
254,-24.3927777777778,150.510833333333,90.1,16.4,0.951,
255,-24.3922222222222,150.531111111111,94.9,16.4,0.951,
256,-36.1502777777778,142.863611111111,106.5,8200.0,0.951,
257,-25.8966666666667,139.3525,102.9,32.8,0.951,
258,-25.8966666666667,139.3525,104.5,41.0,0.951,
259,-25.8963888888889,139.355277777778,106.1,82.0,0.951,
260,-25.8963888888889,139.355277777778,107.7,82.0,0.951,
261,-24.4202777777778,145.465277777778,95.1,164.0,0.951,
262,-24.4202777777778,145.465277777778,98.3,41.0,0.951,
