,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP,HDI,popdens
374,374,59.3113619,14.11176,107.9,250,0.947,
375,375,60.7304312,12.8711737,107.9,500,0.947,
376,376,59.97628,14.1840612,92.0,30,0.947,
377,377,59.416667,12.166667,95.8,100,0.947,
378,378,59.116667,12.85,96.2,100,0.947,
379,379,59.766667,12.65,99.4,300,0.947,
380,380,59.7031557,12.1494597,100.2,100,0.947,
381,381,59.5093152,11.8425198,100.6,100,0.947,
382,382,59.85,13.15,101.8,60256,0.947,
383,383,59.3113619,14.11176,102.4,30,0.947,
384,384,60.9017513,12.5960838,102.6,30,0.947,
385,385,60.5,13.083333,102.6,500,0.947,
386,386,59.7,14.183333,103.2,3020,0.947,
387,387,59.3809146,13.5027631,103.5,15136,0.947,
388,388,60.7304312,12.8711737,103.6,300,0.947,
389,389,60.0297519,13.6518574,105.0,200,0.947,
390,390,64.6,18.166667,101.1,1600,0.947,
391,391,63.8256568,20.2630745,102.3,2000,0.947,
392,392,63.95,19.666667,103.0,1995,0.947,
393,393,64.29522685,15.81909014,88.2,60000,0.947,
394,394,65.02648235,15.18054728,100.2,30,0.947,
395,395,65.7114465,15.2765436,100.3,120,0.947,
396,396,65.9605725,16.2057392,101.0,30,0.947,
397,397,65.659475,15.1271516,101.3,20,0.947,
398,398,16.3700359,-2.2900239,101.4,25,0.947,
399,399,65.8152777,15.08528,101.7,30,0.947,
400,400,65.4,16.416667,102.5,60000,0.947,
401,401,65.9457611,15.0373482,103.1,30,0.947,
402,402,64.6,18.166667,103.3,60000,0.947,
403,403,63.95,19.666667,103.6,60000,0.947,
404,404,65.7534561,14.9502256,103.7,20,0.947,
405,405,65.75,16.75,103.7,200,0.947,
406,406,64.7520185,20.959339,103.9,60000,0.947,
407,407,63.95,19.666667,88.0,500,0.947,
408,408,64.7520185,20.959339,90.9,2000,0.947,
409,409,63.8256568,20.2630745,96.6,750,0.947,
410,410,64.1910877,20.8470259,106.0,500,0.947,
411,411,63.73584245,18.44972328,87.6,500,0.947,
412,412,63.2888613,18.7160209,89.8,500,0.947,
413,413,63.383333,16.916667,96.1,500,0.947,
414,414,63.6970646,16.8828773,99.8,250,0.947,
415,415,63.538099,16.4686985,106.8,250,0.947,
416,416,63.383333,16.916667,88.7,100,0.947,
417,417,62.6323084,17.9379914,91.9,500,0.947,
418,418,62.4733988,15.64108973,91.9,500,0.947,
419,419,62.916667,17.666667,93.9,100,0.947,
420,420,62.3907552,17.3071024,96.3,6000,0.947,
421,421,54.4853638,9.0538156,96.6,500,0.947,
422,422,63.2888613,18.7160209,102.1,2000,0.947,
423,423,62.4922058,17.2995411,103.3,500,0.947,
424,424,62.3467693,17.0199791,100.0,25,0.947,
425,425,63.2888613,18.7160209,100.1,60256,0.947,
426,426,62.6323084,17.9379914,100.5,1500,0.947,
427,427,62.697547,16.80198364,100.9,200,0.947,
428,428,63.383333,16.916667,101.2,60000,0.947,
429,429,62.916667,17.666667,102.4,1200,0.947,
430,430,63.6970646,16.8828773,102.6,30,0.947,
431,431,62.3907552,17.3071024,102.8,60256,0.947,
432,432,63.538099,16.4686985,102.9,100,0.947,
433,433,62.4733988,15.64108973,103.1,60256,0.947,
434,434,62.9866904,18.4304287,103.4,320,0.947,
435,435,63.383333,16.916667,103.9,100,0.947,
